Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
BadAss 3530-650Kv ,5.00,570.00,12.00,10.00,18.50,8769.00,43.64,807.40,445.88,5.67,83.00,0.70,2.40
Cobra C-3520/14 ,6.00,700.00,9.00,7.00,22.20,12520.00,30.49,676.80,531.91,5.52,83.00,0.82,2.18
BadAss 3530-700 ,5.00,700.00,12.00,8.00,18.50,10944.00,70.32,1300.90,276.73,7.78,82.90,0.60,2.40
BadAss 4530-550Kv ,6.00,550.00,12.00,8.00,22.20,10945.00,60.98,1353.80,265.92,7.86,82.90,0.58,2.86
Tempest 4130-540Kv ,5.00,540.00,14.00,10.00,18.50,8749.00,56.97,1053.90,341.59,8.85,82.90,0.84,2.54
Tempest 4130-540Kv ,6.00,540.00,11.00,8.00,22.20,10941.00,40.96,909.30,395.91,6.20,82.90,0.68,2.54
BadAss 3530-890 ,6.00,890.00,10.00,5.00,22.20,17485.00,88.42,1962.90,183.40,9.49,82.80,0.48,2.41
BadAss 4530-730Kv ,5.00,730.00,11.00,7.00,18.50,12496.00,77.35,1430.90,251.59,8.32,82.80,0.58,2.87
Cobra C-2826/12 ,6.00,760.00,10.00,7.00,22.20,12495.00,41.03,911.00,395.17,6.20,82.80,0.68,2.08
Tempest 2820-840Kv ,5.00,840.00,9.00,7.00,18.50,12498.00,37.91,701.40,513.26,5.33,82.80,0.76,2.00
Cobra C-4130/12 ,6.00,540.00,11.00,8.50,22.20,10287.00,37.70,836.90,430.16,5.90,82.80,0.71,2.58
BadAss 4520-660Kv ,5.00,660.00,11.00,8.00,18.50,10918.00,50.10,926.90,388.39,7.42,82.70,0.80,2.57
BadAss 2826-690 ,5.00,690.00,12.00,8.50,18.50,10272.00,42.86,792.90,454.03,6.90,82.70,0.87,2.10
Tempest 2826-920Kv ,5.00,920.00,9.00,6.00,18.50,14556.00,42.43,785.00,458.60,5.18,82.70,0.66,2.07
Tempest 4130-540Kv ,6.00,540.00,11.00,8.00,22.20,10914.00,41.63,924.10,389.57,7.29,82.70,0.79,2.54
Tempest 3515-1330Kv ,4.00,1330.00,9.00,6.00,14.80,14542.00,54.81,811.20,443.79,5.10,82.60,0.63,2.07
