Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
Tempest 2814-1700Kv  Twin,6.00,1700.00,5.00,4.50,22.20,31116.00,103.30,2293.40,313.94,3.31,59.27,0.14,1.11
BadAss 2315-880Kv  Twin,6.00,1310.00,6.50,5.50,22.20,25335.00,85.78,1904.00,378.15,3.41,59.00,0.18,1.07
Cobra CP-2814-2350  Twin,4.00,2350.00,5.00,4.50,14.80,30936.00,109.34,1618.00,444.99,3.48,58.91,0.22,1.13
Tempest 2814-1700Kv  Twin,5.00,1700.00,6.50,5.50,18.50,25299.00,107.22,1983.40,363.01,3.36,58.91,0.17,1.11
Tempest 3515-1330Kv  Twin,6.00,1330.00,7.00,6.00,22.20,23115.00,102.10,2266.40,317.68,4.43,58.69,0.20,1.23
BadAss 2814-1560Kv  Twin,6.00,1560.00,5.00,4.60,22.20,29957.00,78.64,1746.00,412.37,3.20,58.33,0.18,1.13
BadAss 2315-1860Kv  Twin,5.00,1860.00,5.00,4.60,18.50,29768.00,92.40,1709.60,421.15,3.21,57.98,0.19,1.08
Tempest 2826-1470Kv  Twin,6.00,1470.00,6.50,5.00,22.20,27241.00,97.98,2175.00,331.03,3.79,57.66,0.17,1.23
Tempest 2814-1700Kv  Twin,6.00,1700.00,5.00,4.30,22.20,31604.00,93.50,2075.80,346.85,3.34,57.53,0.16,1.11
Tempest 2820-1460Kv  Twin,6.00,1460.00,6.50,5.00,22.20,27130.00,99.88,2217.20,324.73,3.78,57.44,0.17,1.17
BadAss 2315-1630Kv  Twin,6.00,1630.00,5.00,4.30,22.20,31483.00,87.20,1935.80,371.94,3.34,57.31,0.17,1.08
BadAss 2814-1950  Twin,5.00,1950.00,5.00,4.30,18.50,31475.00,106.50,1970.00,365.48,3.38,57.31,0.17,1.13
BadAss 2814-1560Kv  Twin,6.00,1560.00,5.00,4.50,22.20,29881.00,81.98,1820.00,395.60,3.02,56.90,0.17,1.13
Tempest 2814-2100Kv  Twin,5.00,2100.00,5.00,4.30,18.50,31273.00,107.96,1997.20,360.50,3.26,56.90,0.16,1.11
Tempest 2826-1470Kv  Twin,5.00,1470.00,7.00,6.00,18.50,22225.00,105.68,1955.00,368.29,4.14,56.46,0.21,1.23
Cobra C-2826-EF1  Twin,6.00,1200.00,6.50,5.50,22.20,24200.00,70.60,1567.40,459.36,3.13,56.32,0.20,1.24
Cobra C-2826-EF1-SS  Twin,6.00,1200.00,6.50,5.50,22.20,24200.00,70.60,1567.40,459.36,3.13,56.32,0.20,1.24
BadAss 2315-1860Kv  Twin,5.00,1860.00,5.00,4.50,18.50,29506.00,96.66,1788.00,402.68,3.00,56.19,0.17,1.08
Tempest 3515-1330Kv  Twin,5.00,1330.00,7.00,7.00,18.50,18874.00,102.40,1894.60,380.03,3.70,55.92,0.20,1.23
BadAss 2820-1820  Twin,4.00,1820.00,6.50,5.50,14.80,23671.00,101.20,1497.60,480.77,3.00,55.12,0.20,1.19
