Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
Tempest 2820-1170Kv  Twin,4.00,1170.00,8.00,6.00,14.80,14624.00,79.96,1183.20,608.52,4.01,37.15,0.34,1.16
Tempest 2820-1460Kv  Twin,5.00,1460.00,7.00,4.00,18.50,21930.00,108.32,2003.80,359.32,4.48,37.15,0.22,1.17
Tempest 4120-520Kv  Twin,6.00,520.00,11.00,8.50,22.20,10318.00,75.58,1677.80,429.13,5.24,37.15,0.31,1.45
BadAss 3515-710 ,5.00,710.00,12.00,8.50,18.50,10323.00,45.33,838.50,429.34,3.24,37.15,0.39,1.02
Cobra C-3520/14  Twin,6.00,700.00,9.00,7.00,22.20,12520.00,60.98,1353.60,531.91,5.01,37.10,0.37,1.32
Cobra C-4120/14  Twin,4.00,710.00,11.00,10.00,14.80,8769.00,84.00,1243.00,579.24,3.80,37.10,0.31,1.48
BadAss 2826-820Kv  Twin,5.00,820.00,10.00,7.00,18.50,12524.00,101.02,1869.00,385.23,5.36,37.10,0.29,1.24
BadAss 3530-650Kv  Twin,5.00,570.00,12.00,10.00,18.50,8769.00,87.28,1614.80,445.88,5.14,37.10,0.32,1.53
Cobra CP-2814-2000  Twin,3.00,2000.00,7.00,4.50,11.10,19452.00,103.44,1148.00,627.18,3.46,37.06,0.30,1.13
BadAss 2814-980Kv  Twin,5.00,980.00,8.00,6.00,18.50,14583.00,62.38,1154.20,623.81,3.95,37.06,0.34,1.13
BadAss 3515-580Kv  Twin,6.00,580.00,10.00,8.00,22.20,10945.00,58.50,1298.80,554.36,4.20,37.06,0.32,1.27
Tempest 4130-540Kv  Twin,6.00,540.00,11.00,8.00,22.20,10941.00,81.92,1818.60,395.91,5.62,37.06,0.31,1.65
BadAss 3530-700 ,5.00,700.00,12.00,8.00,18.50,10944.00,70.32,1300.90,276.73,3.53,37.06,0.27,1.15
BadAss 4530-550Kv ,6.00,550.00,12.00,8.00,22.20,10945.00,60.98,1353.80,265.92,3.56,37.06,0.26,1.36
Tempest 4130-540Kv ,5.00,540.00,14.00,10.00,18.50,8749.00,56.97,1053.90,341.59,4.01,37.06,0.38,1.21
Cobra C-2826/12  Twin,6.00,760.00,10.00,7.00,22.20,12495.00,82.06,1822.00,395.17,5.63,37.01,0.31,1.23
Cobra C-4130/12  Twin,6.00,540.00,11.00,8.50,22.20,10287.00,75.40,1673.80,430.16,5.36,37.01,0.32,1.69
BadAss 3515-710  Twin,5.00,710.00,10.00,8.00,18.50,10933.00,69.20,1280.40,562.32,4.29,37.01,0.34,1.26
BadAss 3515-940  Twin,4.00,940.00,9.00,7.50,14.80,11652.00,87.24,1291.00,557.71,3.53,37.01,0.27,1.26
Tempest 2820-840Kv  Twin,5.00,840.00,9.00,7.00,18.50,12498.00,75.82,1402.80,513.26,4.84,37.01,0.34,1.16
BadAss 3530-890 ,6.00,890.00,10.00,5.00,22.20,17485.00,88.42,1962.90,183.40,4.30,37.01,0.22,1.16
BadAss 4530-730Kv ,5.00,730.00,11.00,7.00,18.50,12496.00,77.35,1430.90,251.59,3.77,37.01,0.26,1.36
BadAss 2826-690  Twin,5.00,690.00,12.00,8.50,18.50,10272.00,85.72,1585.80,454.03,6.26,36.97,0.39,1.25
BadAss 4520-660Kv  Twin,5.00,660.00,11.00,8.00,18.50,10918.00,100.20,1853.80,388.39,6.73,36.97,0.36,1.68
Tempest 2826-1140Kv  Twin,4.00,1140.00,8.00,6.00,14.80,14551.00,78.50,1161.80,619.73,4.07,36.97,0.35,1.22
Tempest 2826-920Kv  Twin,5.00,920.00,9.00,6.00,18.50,14556.00,84.86,1570.00,458.60,4.70,36.97,0.30,1.22
Tempest 4120-520Kv  Twin,5.00,520.00,11.00,10.00,18.50,8730.00,62.14,1149.60,626.30,3.56,36.97,0.31,1.45
Tempest 4120-830Kv  Twin,4.00,830.00,9.00,7.50,14.80,11640.00,92.00,1361.60,528.79,3.46,36.97,0.25,1.45
Tempest 4130-540Kv  Twin,6.00,540.00,11.00,8.00,22.20,10914.00,83.26,1848.20,389.57,6.62,36.97,0.36,1.65
BadAss 2826-690 ,5.00,690.00,12.00,8.50,18.50,10272.00,42.86,792.90,454.03,3.13,36.97,0.39,1.01
BadAss 4520-660Kv ,5.00,660.00,11.00,8.00,18.50,10918.00,50.10,926.90,388.39,3.37,36.97,0.36,1.23
Tempest 4130-540Kv ,6.00,540.00,11.00,8.00,22.20,10914.00,41.63,924.10,389.57,3.31,36.97,0.36,1.21
BadAss 2814-980Kv  Twin,5.00,980.00,8.00,6.00,18.50,14535.00,64.54,1193.80,603.12,3.53,36.92,0.30,1.13
BadAss 2826-690  Twin,6.00,690.00,10.00,7.00,22.20,12455.00,89.06,1977.20,364.15,6.75,36.92,0.34,1.25
BadAss 3520-650Kv  Twin,5.00,650.00,10.00,8.00,18.50,10897.00,70.04,1295.80,555.64,4.15,36.92,0.32,1.35
Tempest 3515-1330Kv  Twin,4.00,1330.00,9.00,6.00,14.80,14542.00,109.62,1622.40,443.79,4.63,36.92,0.29,1.23
BadAss 2826-690 ,6.00,690.00,10.00,7.00,22.20,12455.00,44.53,988.60,364.15,3.38,36.92,0.34,1.01
Cobra C-2826/10  Twin,5.00,930.00,8.00,6.00,18.50,14513.00,60.92,1127.00,638.86,4.12,36.88,0.37,1.23
Cobra C-3525/10  Twin,5.00,780.00,9.00,7.50,18.50,11613.00,74.24,1373.20,524.32,3.53,36.88,0.26,1.40
Cobra C-3525/10  Twin,5.00,780.00,11.00,8.00,18.50,10884.00,105.64,1954.40,368.40,6.84,36.88,0.35,1.40
BadAss 4520-660Kv  Twin,5.00,660.00,11.00,8.00,18.50,10884.00,102.36,1893.80,380.19,5.69,36.88,0.30,1.68
Cobra C-3525/10 ,5.00,780.00,11.00,8.00,18.50,10884.00,52.82,977.20,368.40,3.42,36.88,0.35,1.08
BadAss 3520-650Kv ,6.00,650.00,11.00,7.00,22.20,12447.00,56.85,1262.00,285.26,4.07,36.88,0.32,1.06
BadAss 2814-1120  Twin,6.00,1120.00,7.00,4.00,22.20,21749.00,77.50,1720.60,418.46,4.29,36.83,0.25,1.13
BadAss 3515-710  Twin,5.00,710.00,11.00,8.00,18.50,10881.00,70.84,1310.60,549.37,5.18,36.83,0.40,1.26
Tempest 2826-920Kv  Twin,4.00,920.00,10.00,8.00,14.80,10879.00,97.22,1439.00,500.35,4.30,36.83,0.30,1.22
BadAss 3515-710  Twin,5.00,710.00,11.00,8.50,18.50,10223.00,95.94,1774.80,405.68,5.23,36.79,0.29,1.26
BadAss 3520-790  Twin,5.00,790.00,10.00,7.00,18.50,12409.00,95.68,1770.00,406.78,5.09,36.79,0.29,1.34
Tempest 4130-690Kv ,4.00,690.00,14.00,10.00,14.80,8688.00,71.14,1052.90,341.91,3.94,36.79,0.37,1.21
Cobra C-2820/14  Twin,6.00,840.00,8.00,6.00,22.20,14471.00,67.82,1505.60,478.21,3.74,36.74,0.25,1.17
Cobra C-3525/10  Twin,5.00,780.00,11.00,8.00,18.50,10848.00,106.84,1976.60,364.26,5.80,36.74,0.29,1.40
BadAss 2826-690  Twin,5.00,690.00,10.00,8.00,18.50,10850.00,64.76,1198.20,600.90,4.19,36.74,0.35,1.25
BadAss 3530-890 ,5.00,890.00,10.00,5.80,18.50,14960.00,68.98,1276.20,282.09,3.60,36.74,0.28,1.15
BadAss 4530-440Kv ,6.00,440.00,13.00,10.00,22.20,8684.00,56.81,1261.10,285.47,3.27,36.74,0.26,1.36
Cobra C-4120/20  Twin,5.00,480.00,12.00,12.00,18.50,7225.00,58.08,1074.40,670.14,3.40,36.70,0.32,1.47
BadAss 3530-630Kv  Twin,5.00,630.00,11.00,8.00,18.50,10838.00,96.40,1783.20,403.77,6.66,36.70,0.37,1.54
Tempest 2820-1170Kv  Twin,4.00,1170.00,8.00,6.00,14.80,14444.00,84.24,1246.60,577.57,3.58,36.70,0.29,1.16
Cobra C-4120/16 ,6.00,610.00,12.00,8.00,22.20,10837.00,60.37,1340.10,268.64,3.59,36.70,0.27,1.12
BadAss 3530-630Kv ,5.00,630.00,11.00,8.00,18.50,10838.00,48.20,891.60,403.77,3.33,36.70,0.37,1.16
BadAss 3530-630Kv  Twin,5.00,630.00,11.00,8.00,18.50,10819.00,97.14,1797.00,400.67,5.49,36.65,0.31,1.54
BadAss 3530-890 ,3.00,890.00,13.00,10.00,11.10,8658.00,69.66,773.20,465.60,3.23,36.65,0.42,1.15
BadAss 4530-550Kv ,6.00,550.00,12.00,8.00,22.20,10830.00,69.38,1540.20,233.74,5.30,36.65,0.34,1.36
Cobra C-2820/14  Twin,6.00,840.00,9.00,6.00,22.20,14417.00,68.84,1528.20,471.14,4.51,36.61,0.30,1.17
Cobra C-4120/14  Twin,5.00,710.00,11.00,8.00,18.50,10810.00,101.52,1878.20,383.35,5.76,36.61,0.31,1.48
Cobra C-4120/14  Twin,5.00,710.00,11.00,8.00,18.50,10813.00,101.54,1878.40,383.30,6.86,36.61,0.36,1.48
BadAss 2826-690  Twin,5.00,690.00,11.00,8.50,18.50,10169.00,90.20,1668.60,431.50,5.15,36.61,0.31,1.25
BadAss 3530-470  Twin,6.00,470.00,14.00,10.00,22.20,8648.00,97.16,2157.20,333.77,7.87,36.61,0.36,1.52
Cobra C-4120/14 ,5.00,710.00,11.00,8.00,18.50,10813.00,50.77,939.20,383.30,3.43,36.61,0.36,1.12
BadAss 3520-650Kv ,6.00,650.00,11.00,7.00,22.20,12355.00,59.58,1322.70,272.17,3.74,36.61,0.28,1.06
BadAss 3530-470 ,6.00,470.00,14.00,10.00,22.20,8648.00,48.58,1078.60,333.77,3.93,36.61,0.36,1.14
Tempest 4130-690Kv ,4.00,690.00,14.00,10.00,14.80,8653.00,71.36,1056.10,340.88,4.34,36.61,0.41,1.21
Cobra C-3525/10  Twin,6.00,780.00,8.00,6.00,22.20,14401.00,65.12,1445.60,498.06,3.63,36.56,0.25,1.40
BadAss 3530-650Kv  Twin,4.00,570.00,12.00,12.00,14.80,7200.00,68.36,1011.60,711.74,3.26,36.56,0.32,1.53
BadAss 3530-650Kv  Twin,6.00,570.00,11.00,8.00,22.20,10794.00,78.34,1739.20,413.98,5.44,36.56,0.31,1.53
Tempest 4120-700Kv ,5.00,700.00,12.00,8.00,18.50,10799.00,70.70,1308.00,275.23,3.45,36.56,0.26,1.11
BadAss 2820-780  Twin,6.00,780.00,8.00,6.00,22.20,14372.00,56.70,1258.60,572.06,4.31,36.52,0.34,1.19
BadAss 2820-910Kv  Twin,5.00,910.00,8.00,6.00,18.50,14383.00,59.46,1100.00,654.55,3.92,36.52,0.36,1.19
BadAss 3530-470  Twin,6.00,470.00,14.00,10.00,22.20,8632.00,97.72,2169.40,331.89,8.67,36.52,0.40,1.52
Tempest 4120-600Kv  Twin,6.00,600.00,10.00,7.00,22.20,12332.00,74.12,1645.20,437.64,5.03,36.52,0.31,1.45
BadAss 3520-970 ,5.00,970.00,10.00,5.80,18.50,14871.00,74.00,1369.00,262.97,3.64,36.52,0.27,1.06
BadAss 3530-470 ,6.00,470.00,14.00,10.00,22.20,8632.00,48.86,1084.70,331.89,4.33,36.52,0.40,1.14
Cobra C-3520/12  Twin,5.00,820.00,11.00,8.00,18.50,10772.00,108.90,2014.60,357.39,6.73,36.48,0.33,1.32
Cobra C-3525/10  Twin,6.00,780.00,9.00,6.00,22.20,14364.00,66.78,1482.40,485.70,4.52,36.48,0.30,1.40
Cobra C-4120/20  Twin,7.00,480.00,11.00,8.50,25.90,10136.00,63.98,1657.20,434.47,5.33,36.48,0.32,1.47
BadAss 2820-910Kv  Twin,5.00,910.00,8.00,6.00,18.50,14364.00,60.54,1119.80,642.97,3.48,36.48,0.31,1.19
BadAss 2826-690  Twin,5.00,690.00,11.00,8.00,18.50,10773.00,67.46,1248.00,576.92,5.07,36.48,0.41,1.25
BadAss 3530-650Kv  Twin,6.00,570.00,11.00,8.00,22.20,10769.00,79.36,1762.00,408.63,6.55,36.48,0.37,1.53
BadAss 4520-660Kv  Twin,4.00,660.00,12.00,10.00,14.80,8617.00,104.24,1542.80,466.68,4.90,36.48,0.32,1.68
Tempest 3515-950Kv  Twin,4.00,950.00,10.00,8.00,14.80,10775.00,91.02,1347.00,534.52,4.02,36.48,0.30,1.23
Cobra C-3520/12 ,5.00,820.00,11.00,8.00,18.50,10772.00,54.45,1007.30,357.39,3.36,36.48,0.33,1.05
BadAss 3530-650Kv ,6.00,570.00,11.00,8.00,22.20,10769.00,39.68,881.00,408.63,3.28,36.48,0.37,1.15
Tempest 4130-540Kv ,5.00,540.00,13.00,10.00,18.50,8616.00,63.21,1169.30,307.88,3.19,36.48,0.27,1.21
Cobra C-4130/12  Twin,5.00,540.00,11.00,10.00,18.50,8607.00,61.08,1130.00,637.17,3.65,36.43,0.32,1.69
BadAss 2820-1080  Twin,6.00,1080.00,7.00,4.00,22.20,21505.00,68.16,1513.20,475.81,3.98,36.43,0.26,1.19
BadAss 3520-790  Twin,5.00,790.00,10.00,7.00,18.50,12297.00,100.52,1859.60,387.18,6.32,36.43,0.34,1.34
Tempest 3515-1330Kv  Twin,3.00,1330.00,9.00,8.00,11.10,10758.00,101.38,1125.40,639.77,4.05,36.43,0.36,1.23
BadAss 3520-790 ,5.00,790.00,10.00,7.00,18.50,12297.00,50.26,929.80,387.18,3.16,36.43,0.34,1.06
BadAss 4520-830Kv ,4.00,830.00,11.00,8.00,14.80,10753.00,60.95,902.10,399.07,3.25,36.43,0.36,1.23
BadAss 2820-780  Twin,5.00,780.00,11.00,8.00,18.50,10748.00,106.72,1974.20,364.70,5.66,36.39,0.29,1.19
Tempest 2826-1140Kv  Twin,4.00,1140.00,8.00,6.00,14.80,14330.00,80.42,1190.40,604.84,3.53,36.39,0.30,1.22
BadAss 2820-910Kv ,5.00,910.00,10.00,7.00,18.50,12278.00,58.27,1078.00,333.95,3.29,36.39,0.30,0.98
Tempest 4130-690Kv ,5.00,690.00,12.00,8.00,18.50,10740.00,84.17,1557.10,231.20,5.06,36.39,0.33,1.22
Cobra C-2826-EF1  Twin,4.00,1200.00,9.00,6.00,14.80,14312.00,100.72,1490.60,483.03,4.46,36.34,0.30,1.24
Cobra C-2826-EF1-SS  Twin,4.00,1200.00,9.00,6.00,14.80,14312.00,100.72,1490.60,483.03,4.46,36.34,0.30,1.24
Cobra C-4120/14  Twin,5.00,710.00,9.00,7.50,18.50,11449.00,67.32,1245.20,578.22,3.47,36.34,0.28,1.48
Tempest 2820-970Kv  Twin,5.00,970.00,9.00,6.00,18.50,14303.00,84.40,1561.20,461.18,4.47,36.34,0.29,1.16
Tempest 4120-600Kv  Twin,6.00,600.00,10.00,7.00,22.20,12267.00,81.32,1805.20,398.85,6.45,36.34,0.36,1.45
Tempest 4120-600Kv ,6.00,600.00,10.00,7.00,22.20,12267.00,40.66,902.60,398.85,3.22,36.34,0.36,1.11
Cobra C-4120/18  Twin,5.00,540.00,11.00,10.00,18.50,8574.00,61.52,1138.00,632.69,3.64,36.30,0.32,1.47
BadAss 3520-650Kv  Twin,4.00,650.00,11.00,10.00,14.80,8570.00,74.74,1106.20,650.88,3.55,36.30,0.32,1.35
Cobra C-4130/14  Twin,6.00,450.00,12.00,10.00,22.20,8568.00,67.54,1499.60,480.13,5.01,36.25,0.33,1.69
BadAss 3520-560  Twin,5.00,560.00,12.00,10.00,18.50,8563.00,83.34,1541.60,467.05,4.65,36.25,0.30,1.35
BadAss 3520-790  Twin,3.00,790.00,12.00,12.00,11.10,7139.00,94.50,1049.00,686.37,3.13,36.25,0.30,1.34
BadAss 3530-470  Twin,5.00,470.00,15.00,12.00,18.50,7133.00,93.42,1728.00,416.67,7.82,36.25,0.45,1.52
BadAss 3530-890  Twin,4.00,890.00,10.00,7.00,14.80,12228.00,105.02,1554.20,463.26,4.95,36.25,0.32,1.53
Tempest 3515-950Kv  Twin,5.00,950.00,9.00,6.00,18.50,14265.00,79.22,1465.40,491.33,4.30,36.25,0.29,1.23
Tempest 4120-520Kv  Twin,6.00,520.00,10.00,8.00,22.20,10700.00,53.26,1182.60,608.83,3.82,36.25,0.32,1.45
BadAss 3530-470 ,5.00,470.00,15.00,12.00,18.50,7133.00,46.71,864.00,416.67,3.91,36.25,0.45,1.14
BadAss 3530-700 ,4.00,700.00,14.00,10.00,14.80,8563.00,72.14,1067.70,337.17,3.74,36.25,0.35,1.15
Tempest 4130-540Kv ,6.00,540.00,14.00,8.50,22.20,10079.00,82.70,1835.80,196.10,5.41,36.25,0.29,1.22
BadAss 2826-820Kv  Twin,5.00,820.00,10.00,7.00,18.50,12215.00,108.20,2001.80,359.68,6.39,36.21,0.32,1.24
Tempest 2814-1400Kv  Twin,5.00,1400.00,7.00,4.00,18.50,21392.00,77.30,1430.00,503.50,3.80,36.21,0.27,1.11
BadAss 2826-820Kv ,5.00,820.00,10.00,7.00,18.50,12215.00,54.10,1000.90,359.68,3.19,36.21,0.32,1.01
Cobra C-3520/10  Twin,5.00,980.00,8.00,6.00,18.50,14233.00,79.06,1462.80,492.21,3.58,36.16,0.24,1.31
BadAss 3515-1130  Twin,4.00,1130.00,9.00,6.00,14.80,14246.00,95.14,1408.20,511.29,4.28,36.16,0.30,1.27
Tempest 4130-540Kv  Twin,6.00,540.00,12.00,8.00,22.20,10685.00,105.36,2339.20,307.80,6.68,36.16,0.29,1.65
Tempest 4130-540Kv ,6.00,540.00,12.00,8.00,22.20,10685.00,52.68,1169.60,307.80,3.34,36.16,0.29,1.21
BadAss 3530-470  Twin,6.00,470.00,13.00,10.00,22.20,8531.00,104.12,2311.60,311.47,6.40,36.12,0.28,1.52
Tempest 4120-600Kv  Twin,5.00,600.00,11.00,8.50,18.50,10042.00,84.36,1560.80,461.30,5.04,36.12,0.32,1.45
BadAss 3530-470 ,6.00,470.00,13.00,10.00,22.20,8531.00,52.06,1155.80,311.47,3.20,36.12,0.28,1.14
BadAss 4530-550Kv ,6.00,550.00,13.00,8.00,22.20,10660.00,78.40,1740.40,206.85,5.94,36.12,0.34,1.36
Cobra C-3520/10  Twin,5.00,980.00,9.00,6.00,18.50,14203.00,80.66,1492.20,482.51,4.39,36.07,0.29,1.31
Cobra C-3525/12  Twin,6.00,650.00,9.00,7.00,22.20,12179.00,53.90,1196.40,601.81,4.64,36.07,0.39,1.40
Cobra C-4120/18  Twin,6.00,540.00,11.00,8.50,22.20,10021.00,71.54,1588.40,453.29,5.18,36.07,0.33,1.47
Cobra C-4120/20  Twin,6.00,480.00,12.00,10.00,22.20,8523.00,68.80,1527.40,471.39,4.93,36.07,0.32,1.47
Cobra CP-2814-1050  Twin,6.00,1050.00,7.00,4.00,22.20,21302.00,70.80,1571.80,458.07,4.08,36.07,0.26,1.13
BadAss 3530-630Kv  Twin,4.00,630.00,12.00,10.00,14.80,8517.00,100.58,1488.60,483.68,4.72,36.07,0.32,1.54
BadAss 3530-700 ,4.00,700.00,14.00,10.00,14.80,8527.00,72.31,1070.10,336.42,4.12,36.07,0.38,1.15
BadAss 3515-1130  Twin,4.00,1130.00,10.00,6.00,14.80,14177.00,98.42,1456.60,494.30,5.20,36.03,0.36,1.27
BadAss 4530-550Kv ,6.00,550.00,13.00,8.00,22.20,10644.00,79.74,1770.20,203.37,4.91,36.03,0.28,1.36
BadAss 3530-650Kv  Twin,5.00,570.00,14.00,10.00,18.50,8497.00,109.32,2022.40,356.01,7.54,35.98,0.37,1.53
BadAss 2826-1030 ,4.00,1030.00,10.00,7.00,14.80,12137.00,63.39,938.10,383.75,3.19,35.98,0.34,1.01
BadAss 3530-650Kv ,5.00,570.00,14.00,10.00,18.50,8497.00,54.66,1011.20,356.01,3.77,35.98,0.37,1.15
BadAss 4520-660Kv ,5.00,660.00,12.00,8.00,18.50,10620.00,66.33,1227.10,293.37,3.38,35.98,0.28,1.23
Cobra C-3515/14  Twin,5.00,950.00,8.00,6.00,18.50,14143.00,55.68,1030.00,699.03,3.82,35.94,0.37,1.25
Tempest 2820-970Kv  Twin,4.00,970.00,10.00,8.00,14.80,10609.00,91.52,1354.40,531.60,3.99,35.94,0.29,1.16
BadAss 2826-820Kv ,6.00,820.00,10.00,5.80,22.20,14646.00,59.26,1315.60,273.64,3.54,35.94,0.27,1.01
BadAss 2820-910Kv  Twin,4.00,910.00,10.00,8.00,14.80,10599.00,82.24,1217.20,591.52,4.04,35.89,0.33,1.19
BadAss 3515-710  Twin,4.00,710.00,11.00,10.00,14.80,8475.00,75.26,1114.00,646.32,3.45,35.89,0.31,1.26
BadAss 3530-700  Twin,6.00,700.00,10.00,6.00,22.20,14137.00,93.26,2070.60,347.73,5.98,35.89,0.29,1.53
Tempest 2814-1700Kv  Twin,3.00,1700.00,8.00,6.00,11.10,14129.00,103.86,1153.00,624.46,3.70,35.89,0.32,1.11
Tempest 4120-520Kv  Twin,5.00,520.00,12.00,10.00,18.50,8475.00,77.84,1440.20,499.93,4.68,35.89,0.33,1.45
Tempest 4130-690Kv ,5.00,690.00,13.00,8.00,18.50,10599.00,90.56,1675.30,214.89,4.78,35.89,0.29,1.22
BadAss 3520-650Kv  Twin,5.00,650.00,11.00,8.00,18.50,10590.00,89.68,1659.00,434.00,5.32,35.85,0.32,1.35
Tempest 2826-920Kv  Twin,4.00,920.00,9.00,7.50,14.80,11299.00,86.78,1284.40,560.57,3.50,35.85,0.27,1.22
BadAss 3530-890 ,4.00,890.00,10.00,7.00,14.80,12095.00,57.81,855.60,420.76,3.12,35.85,0.36,1.15
Tempest 4120-830Kv ,6.00,830.00,10.00,5.00,22.20,16946.00,68.67,1524.40,236.16,4.53,35.85,0.30,1.11
Cobra C-3520/12  Twin,5.00,820.00,9.00,7.00,18.50,12085.00,66.50,1230.00,585.37,4.67,35.80,0.38,1.32
Cobra C-3520/14  Twin,6.00,700.00,10.00,7.00,22.20,12081.00,73.42,1630.00,441.72,4.98,35.80,0.31,1.32
BadAss 2820-1080  Twin,4.00,1080.00,8.00,6.00,14.80,14099.00,68.02,1006.80,715.14,3.69,35.80,0.37,1.19
BadAss 3520-560  Twin,6.00,560.00,11.00,8.00,22.20,10573.00,77.82,1727.80,416.71,5.40,35.80,0.31,1.35
BadAss 3515-940 ,4.00,940.00,11.00,8.00,14.80,10573.00,65.48,969.10,371.48,3.18,35.80,0.33,1.02
Tempest 4120-830Kv ,4.00,830.00,12.00,8.00,14.80,10574.00,84.76,1254.50,286.97,3.27,35.80,0.26,1.12
Tempest 4130-690Kv ,4.00,690.00,13.00,10.00,14.80,8456.00,76.32,1129.60,318.70,3.07,35.80,0.27,1.21
Cobra C-3515/18  Twin,6.00,740.00,10.00,7.00,22.20,12070.00,72.00,1598.40,450.45,5.21,35.76,0.33,1.25
BadAss 3520-560  Twin,6.00,560.00,11.00,8.00,22.20,10554.00,77.54,1721.60,418.22,6.28,35.76,0.36,1.35
BadAss 3520-650Kv  Twin,5.00,650.00,11.00,8.00,18.50,10556.00,91.70,1696.40,424.43,6.30,35.76,0.37,1.35
Tempest 3520-550Kv  Twin,6.00,550.00,10.00,8.00,22.20,10556.00,52.68,1169.60,615.60,3.85,35.76,0.33,1.30
BadAss 3520-560 ,6.00,560.00,11.00,8.00,22.20,10554.00,38.77,860.80,418.22,3.14,35.76,0.36,1.06
BadAss 3520-650Kv ,5.00,650.00,11.00,8.00,18.50,10556.00,45.85,848.20,424.43,3.15,35.76,0.37,1.06
BadAss 3520-970 ,4.00,970.00,10.00,7.00,14.80,12076.00,59.65,882.80,407.79,3.08,35.76,0.35,1.06
Cobra C-4130/12  Twin,5.00,540.00,12.00,10.00,18.50,8440.00,76.62,1417.60,507.90,4.75,35.72,0.33,1.69
BadAss 2826-1030 ,6.00,1030.00,9.00,4.50,22.20,18748.00,68.72,1525.50,235.99,3.77,35.72,0.25,1.01
BadAss 3520-790 ,6.00,790.00,10.00,5.80,22.20,14543.00,58.63,1301.60,276.58,3.56,35.72,0.27,1.06
BadAss 3530-700 ,5.00,700.00,12.00,8.00,18.50,10546.00,81.00,1498.40,240.26,4.96,35.72,0.33,1.16
Tempest 4120-700Kv ,4.00,700.00,14.00,10.00,14.80,8438.00,69.12,1023.00,351.91,3.70,35.72,0.36,1.11
Cobra C-3525/10  Twin,4.00,780.00,12.00,10.00,14.80,8429.00,106.80,1580.60,455.52,4.87,35.67,0.31,1.40
BadAss 3515-580Kv  Twin,5.00,580.00,12.00,10.00,18.50,8429.00,82.36,1523.60,472.56,4.65,35.67,0.31,1.27
BadAss 3530-470  Twin,5.00,470.00,14.00,12.00,18.50,7025.00,102.46,1895.40,379.87,5.37,35.67,0.28,1.52
Tempest 2820-970Kv  Twin,4.00,970.00,11.00,8.00,14.80,10538.00,93.36,1381.60,521.13,4.94,35.67,0.36,1.16
BadAss 2814-1120  Twin,4.00,1120.00,8.00,6.00,14.80,14034.00,70.56,1044.40,689.39,3.75,35.63,0.36,1.13
BadAss 2826-690  Twin,4.00,690.00,11.00,10.00,14.80,8415.00,71.24,1054.40,682.85,3.37,35.63,0.32,1.25
BadAss 3515-940 ,5.00,940.00,10.00,6.00,18.50,14027.00,58.36,1079.60,333.46,3.03,35.63,0.28,1.02
BadAss 2814-1120  Twin,4.00,1120.00,8.00,6.00,14.80,14008.00,71.10,1052.20,684.28,3.33,35.58,0.32,1.13
BadAss 2814-980Kv  Twin,5.00,980.00,9.00,6.00,18.50,14011.00,75.38,1394.40,516.35,4.22,35.58,0.30,1.13
BadAss 2826-820Kv  Twin,3.00,820.00,12.00,12.00,11.10,7005.00,98.12,1089.00,661.16,3.16,35.58,0.29,1.24
BadAss 3515-580Kv  Twin,5.00,580.00,13.00,10.00,18.50,8402.00,83.72,1548.80,464.88,6.39,35.58,0.41,1.27
BadAss 3515-580Kv  Twin,6.00,580.00,11.00,8.00,22.20,10506.00,75.32,1672.00,430.62,5.37,35.58,0.32,1.27
BadAss 3515-710  Twin,5.00,710.00,9.00,7.50,18.50,11204.00,59.82,1106.60,650.64,3.27,35.58,0.30,1.26
Tempest 3520-550Kv  Twin,5.00,550.00,11.00,10.00,18.50,8409.00,60.74,1123.60,640.80,3.35,35.58,0.30,1.30
Tempest 4130-690Kv  Twin,6.00,690.00,10.00,6.00,22.20,14005.00,90.12,2000.60,359.89,5.67,35.58,0.28,1.66
BadAss 3515-580Kv ,5.00,580.00,13.00,10.00,18.50,8402.00,41.86,774.40,464.88,3.20,35.58,0.41,1.02
Tempest 4130-690Kv ,5.00,690.00,13.00,8.00,18.50,10513.00,94.62,1750.50,205.66,5.67,35.58,0.32,1.22
Tempest 3515-950Kv  Twin,4.00,950.00,9.00,7.50,14.80,11193.00,83.18,1231.00,584.89,3.25,35.54,0.26,1.23
BadAss 4520-660Kv ,4.00,660.00,14.00,10.00,14.80,8390.00,65.54,969.90,371.17,3.63,35.54,0.37,1.23
Cobra C-3525/10  Twin,5.00,780.00,9.00,7.00,18.50,11981.00,63.06,1166.40,617.28,4.56,35.49,0.39,1.40
BadAss 2820-780  Twin,4.00,780.00,13.00,10.00,14.80,8384.00,106.54,1576.80,456.62,6.10,35.49,0.39,1.19
BadAss 2820-910Kv  Twin,3.00,910.00,12.00,12.00,11.10,6991.00,101.94,1131.60,636.27,3.13,35.49,0.28,1.19
BadAss 2820-910Kv  Twin,5.00,910.00,9.00,6.00,18.50,13973.00,71.82,1328.80,541.84,4.24,35.49,0.32,1.19
Tempest 2814-850Kv  Twin,5.00,850.00,8.00,6.00,18.50,13981.00,56.06,1037.20,694.18,3.61,35.49,0.35,1.10
