Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Cobra C-3525/10 ,5.00,780.00,11.00,7.00,18.50,11076.00,97.64,1806.40,398.58,13.78,73.40,0.76,2.81
BadAss 2820-780 ,6.00,780.00,9.00,7.00,22.20,13332.00,88.98,1975.20,364.52,13.78,88.40,0.70,2.36
Cobra C-4120/20 ,5.00,480.00,15.00,8.00,18.50,7108.00,65.44,1210.60,594.75,13.76,53.80,1.14,2.98
Tempest 4130-540Kv ,4.00,540.00,15.00,8.00,14.80,7216.00,82.18,1216.40,591.91,13.76,54.70,1.13,3.38
BadAss 3515-710 ,4.00,710.00,14.00,7.00,14.80,7818.00,101.90,1508.00,477.45,13.76,51.80,0.91,2.51
Cobra C-3520/12 ,5.00,820.00,11.00,7.00,18.50,11096.00,101.96,1886.20,381.72,13.75,73.60,0.73,2.65
Tempest 4130-460Kv ,6.00,460.00,15.00,7.00,22.20,8680.00,73.77,1637.60,219.83,13.75,57.50,0.84,2.54
Cobra C-4130/16 ,6.00,390.00,14.00,8.50,22.20,7431.00,54.24,1204.20,597.91,13.75,59.80,1.14,3.45
Cobra C-4120/20 ,6.00,480.00,13.00,6.50,22.20,8656.00,61.58,1367.00,526.70,13.74,53.30,1.01,2.98
Tempest 4120-520Kv ,4.00,520.00,15.00,10.00,14.80,6445.00,96.26,1424.60,505.41,13.73,61.00,0.96,2.94
BadAss 3515-710 ,4.00,710.00,13.00,8.00,14.80,7780.00,101.72,1505.40,478.28,13.73,58.90,0.91,2.51
Cobra C-4130/20 ,6.00,300.00,16.00,10.00,22.20,5654.00,50.22,1114.80,645.86,13.73,53.50,1.23,3.45
BadAss 4520-470Kv ,6.00,470.00,13.00,10.00,22.20,8493.00,103.32,2293.80,313.89,13.72,80.40,0.60,3.43
BadAss 3515-580Kv ,4.00,580.00,14.00,9.00,14.80,6307.00,90.04,1332.40,540.38,13.72,53.80,1.03,2.54
Tempest 3515-950Kv ,6.00,950.00,9.00,4.50,22.20,16846.00,99.58,2210.80,325.67,13.71,71.80,0.62,2.44
Cobra C-3525/12 ,6.00,650.00,11.00,5.50,22.20,11639.00,71.82,1594.60,451.52,13.71,60.60,0.86,2.81
BadAss 4530-440Kv ,6.00,440.00,16.00,7.00,22.20,8528.00,67.78,1504.70,239.25,13.71,56.50,0.91,2.87
Tempest 4130-460Kv ,5.00,460.00,18.00,8.00,18.50,7105.00,74.89,1385.50,259.83,13.71,53.80,0.99,2.54
Cobra C-3525/14 ,5.00,560.00,14.00,10.00,18.50,7687.00,80.76,1494.20,481.86,13.71,72.80,0.92,2.81
Tempest 4120-600Kv ,5.00,600.00,12.00,6.00,18.50,10125.00,79.42,1469.20,490.06,13.71,57.50,0.93,2.93
Cobra C-3520/14 ,5.00,700.00,12.00,6.00,18.50,9735.00,78.52,1452.60,495.66,13.71,55.30,0.94,2.65
Tempest 3520-550Kv ,6.00,550.00,12.00,6.00,22.20,9865.00,68.56,1521.80,473.12,13.71,56.10,0.90,2.60
Cobra C-4120/16 ,5.00,610.00,12.00,6.00,18.50,9696.00,73.32,1356.20,530.90,13.70,55.10,1.01,2.98
BadAss 4530-440Kv ,6.00,440.00,15.00,7.00,22.20,8524.00,68.20,1514.00,237.78,13.68,56.50,0.90,2.87
BadAss 4530-360Kv ,5.00,360.00,20.00,11.00,18.50,5444.00,70.34,1301.30,276.65,13.66,56.70,1.05,2.86
Tempest 4130-310Kv ,6.00,310.00,14.00,9.00,22.20,6413.00,52.02,1154.80,623.48,13.66,54.70,1.18,3.34
Tempest 3520-550Kv ,5.00,550.00,14.00,10.00,18.50,7594.00,84.36,1560.60,461.36,13.65,71.90,0.87,2.60
Cobra C-4120/14 ,5.00,710.00,11.00,7.00,18.50,10984.00,92.12,1704.20,422.49,13.64,72.80,0.80,2.99
BadAss 2826-690 ,4.00,690.00,13.00,8.00,14.80,7724.00,96.32,1425.60,505.05,13.64,58.50,0.96,2.49
Cobra C-2826/12 ,5.00,760.00,12.00,6.00,18.50,9989.00,82.64,1528.60,471.02,13.64,56.80,0.89,2.45
